VALUE,long,lat
7.66496897,25.750,50.9166666666667
7.62351036,25.917,50.9166666666667
7.56881237,26.083,50.9166666666667
7.49440622,26.250,50.9166666666667
7.40563536,26.417,50.9166666666667
7.27290630,26.583,50.9166666666667
7.22303152,26.750,50.9166666666667
7.07222939,26.917,50.9166666666667
6.77159405,27.083,50.9166666666667
6.57463551,27.250,50.9166666666667
6.41460419,27.417,50.9166666666667
6.31367683,27.583,50.9166666666667
6.29562521,27.750,50.9166666666667
6.26782274,27.917,50.9166666666667
6.29406261,28.083,50.9166666666667
6.40839577,28.250,50.9166666666667
6.48219776,28.417,50.9166666666667
6.65120840,28.583,50.9166666666667
6.69883347,28.750,50.9166666666667
6.70476055,28.917,50.9166666666667
6.69043732,29.083,50.9166666666667
